date,loadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HourlyMaxTemperature,DailyMeanWindspeed,MaxHourlyMeanWindspeed,MinHourlyMeanWindspeed,Month,Year,Week,day_of_week,Population,TotalBiomass (MWh),TotalRes(incl.Stat.Transfer) (MWh),Totaal windenergie (MWh),TotalSolarEnergy (MWh),Total Including Non-Renewable (MWh),AveragePrice_Electricity_Household,AveragePrice_Electricity_NonHousehold,AveragePrice_NaturalGas_Household,AveragePrice_NaturalGas_NonHousehold,GDP
2017-03-26,262639.0,0.0,0.0,8.0,33,13.0,3.5,5.0,2.0,3,2017,12,3,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,184689.1
2017-03-27,305880.0,0.0,0.0,9.2,18,17.4,2.6,5.0,1.0,3,2017,13,1,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,184689.1
2017-03-27,305880.0,0.0,0.0,9.2,18,17.4,2.6,5.0,1.0,3,2017,13,1,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,184689.1
2017-03-28,308085.0,0.1,0.1,11.3,6,19.7,2.8,5.0,1.0,3,2017,13,5,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,184689.1
2017-03-28,308085.0,0.1,0.1,11.3,6,19.7,2.8,5.0,1.0,3,2017,13,5,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,184689.1
2017-03-29,319898.0,-0.1,-0.1,12.6,103,14.7,4.5,6.0,2.0,3,2017,13,6,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,184689.1
2017-03-29,319898.0,-0.1,-0.1,12.6,103,14.7,4.5,6.0,2.0,3,2017,13,6,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,184689.1
2017-03-30,310909.0,0.0,0.0,15.7,108,21.8,3.7,6.0,2.0,3,2017,13,4,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,184689.1
2017-03-30,310909.0,0.0,0.0,15.7,108,21.8,3.7,6.0,2.0,3,2017,13,4,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,184689.1
2017-03-31,307373.0,1.4,1.4,14.5,89,21.8,3.5,6.0,1.0,3,2017,13,0,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,184689.1
