PriceComponents,Periods,NG_Household_LessThan_569m3_EuroPerM3,NG_Household_569to5687m3_EuroPerM3,NG_Household_MoreThan_5687m3_EuroPerM3,NG_NonHousehold_LessThan_28433m3_EuroPerM3,NG_NonHousehold_28433to284333m3_EuroPerM3,NG_NonHousehold_284333to2843332m3_EuroPerM3,NG_NonHousehold_2843332to28433324m3_EuroPerM3,NG_NonHousehold_MoreThan_28433324m3_EuroPerM3,Electricity_Household_LessThan_1MWh_EuroPerKWh,Electricity_Household_1to2.5MWh_EuroPerKWh,Electricity_Household_2.5to5MWh_EuroPerKWh,Electricity_Household_5to15MWh_EuroPerKWh,Electricity_Household_MoreThan_15MWh_EuroPerKWh,Electricity_NonHousehold_LessThan_20MWh_EuroPerKWh,Electricity_NonHousehold_20to500MWh_EuroPerKWh,Electricity_NonHousehold_500to2000MWh_EuroPerKWh,Electricity_NonHousehold_2000to20000MWh_EuroPerKWh,Electricity_NonHousehold_20000to70000MWh_EuroPerKWh,Electricity_NonHousehold_70000to150000MWh_EuroPerKWh,Electricity_NonHousehold_MoreThan_150000MWh_EuroPerKWh,Total_Elec_Household,Total_Elec_NonHousehold,Total_NGs_Household,Total_NG_NonHousehold
TotalPrice,2019 2e halfjaar,1.484,0.943,0.811,0.86,0.695,0.336,0.248,0.192,0.095,0.182,0.205,0.21,0.235,0.192,0.129,0.109,0.104,0.072,0.068,0.071,0.9269999999999999,0.7449999999999999,3.238,2.3310000000000004
TotalPrice,2019,1.376,0.922,0.818,0.845,0.725,0.407,0.28,0.234,0.086,0.182,0.205,0.211,0.251,0.207,0.147,0.111,0.104,0.078,0.072,0.072,0.9349999999999999,0.7909999999999998,3.116,2.4909999999999997
TotalPrice,2020 1e halfjaar,1.392,0.979,0.881,0.933,0.803,0.461,0.284,0.223,-0.222,0.066,0.147,0.187,0.262,0.236,0.178,0.129,0.118,0.09,0.078,0.082,0.44,0.9109999999999998,3.252,2.7039999999999997
TotalPrice,2020 2e halfjaar,1.57,0.987,0.849,0.913,0.806,0.327,0.256,0.221,-0.274,0.049,0.136,0.179,0.233,0.233,0.139,0.125,0.119,0.076,0.076,0.07,0.32299999999999995,0.8379999999999999,3.4059999999999997,2.5230000000000006
TotalPrice,2020,1.463,0.982,0.868,0.919,0.805,0.386,0.271,0.222,-0.247,0.058,0.142,0.183,0.248,0.235,0.154,0.126,0.119,0.084,0.078,0.072,0.384,0.8679999999999999,3.313,2.603
TotalPrice,2021 1e halfjaar,1.319,0.939,0.84,0.912,0.818,0.483,0.33,0.301,-0.282,0.038,0.128,0.174,0.264,0.243,0.184,0.136,0.128,0.099,0.082,0.082,0.32200000000000006,0.9539999999999998,3.098,2.8440000000000003
TotalPrice,2021 2e halfjaar,1.664,1.071,0.929,0.976,0.883,0.522,0.504,0.614,-0.272,0.055,0.145,0.19,0.257,0.258,0.161,0.15,0.154,0.105,0.094,0.127,0.375,1.049,3.6639999999999997,3.499
TotalPrice,2021,1.451,0.99,0.875,0.938,0.848,0.502,0.406,0.437,-0.277,0.046,0.136,0.182,0.261,0.251,0.172,0.143,0.141,0.102,0.088,0.105,0.348,1.002,3.316,3.1310000000000002
TotalPrice,2022 1e halfjaar,1.665,1.265,1.173,1.261,1.072,0.901,0.758,0.966,-0.652,-0.104,0.059,0.149,0.262,0.225,0.239,0.208,0.21,0.187,0.172,0.185,-0.28600000000000003,1.426,4.103,4.958
TotalPrice,2022 2e halfjaar,2.204,1.938,1.701,1.746,1.105,0.72,0.802,1.203,-0.519,-0.007,0.156,0.25,0.366,0.323,0.232,0.197,0.228,0.178,0.169,0.193,0.246,1.52,5.843,5.576
TotalPrice,2022,1.9,1.519,1.353,1.414,1.084,0.828,0.775,1.063,-0.585,-0.058,0.105,0.197,0.311,0.278,0.235,0.201,0.219,0.183,0.171,0.189,-0.030000000000000027,1.476,4.771999999999999,5.164
TotalPrice,2023 1e halfjaar,2.012,1.913,2.123,1.975,1.614,1.024,0.963,0.841,-0.05,0.235,0.371,0.471,0.61,0.526,0.353,0.29,0.304,0.266,0.289,0.268,1.637,2.2960000000000003,6.048,6.417000000000001
TotalPrice,2023 2e halfjaar*,2.112,1.54,1.362,1.59,1.475,0.754,0.714,0.576,-0.045,0.179,0.266,0.303,0.361,0.379,0.287,0.251,0.278,0.217,0.291,0.237,1.064,1.94,5.014,5.109
TotalPrice,2023*,2.043,1.764,1.802,1.801,1.558,0.915,0.845,0.706,-0.047,0.206,0.317,0.384,0.485,0.453,0.321,0.269,0.291,0.239,0.29,0.25,1.345,2.113,5.609,5.824999999999999
TotalPrice,2024 1e halfjaar*,1.924,1.588,1.417,1.594,1.467,0.849,0.736,0.555,-0.041,0.193,0.269,0.293,0.38,0.376,0.324,0.24,0.232,0.201,0.24,0.174,1.0939999999999999,1.787,4.929,5.201
DeliveryPrice,2009 1e halfjaar,0.793,0.716,0.687,0.697,0.621,0.443,0.364,0.268,-0.367,0.039,0.138,0.188,0.196,0.178,0.157,0.109,0.1,0.094,0.092,0.07,0.194,0.7999999999999998,2.1959999999999997,2.393
DeliveryPrice,2009 2e halfjaar,0.655,0.551,0.522,0.535,0.545,0.385,0.312,0.226,-0.385,0.029,0.129,0.181,0.143,0.177,0.117,0.104,0.098,0.085,0.082,0.062,0.097,0.7249999999999999,1.728,2.003
DeliveryPrice,2009,0.735,0.647,0.615,0.638,0.592,0.416,0.338,0.245,-0.376,0.034,0.134,0.185,0.17,0.177,0.137,0.106,0.099,0.09,0.086,0.066,0.14700000000000005,0.7609999999999999,1.997,2.229
DeliveryPrice,2010 1e halfjaar,0.67,0.586,0.56,0.571,0.506,0.375,0.286,0.218,-0.395,0.019,0.119,0.17,0.174,0.173,0.145,0.098,0.088,0.077,0.075,0.065,0.087,0.7209999999999999,1.816,1.956
