HourlyMaxTemperature,AveragePrice_Electricity_Household,HourlyMaxTemperature,day_of_week,AveragePrice_NaturalGas_Household,GDP,TotalSolarEnergy (MWh),DailyPrecipitation,Population,Year,TotalRes(incl.Stat.Transfer) (MWh),is_weekend,is_holiday,rolling_7,rolling_30,loadConsumption
16.2,0.1604,16.2,4,0.8186666666666667,174143.8,1424178.0599999998,1.1,1690.0,2015,32553593.76,0,0,291911.5714285714,293835.4666666667,305843.0
19.4,0.1604,19.4,0,0.8186666666666667,174143.8,1424178.0599999998,0.1,1690.0,2015,32553593.76,0,0,291719.0,293530.9,306433.0
16.1,0.1604,16.1,2,0.8186666666666667,174143.8,1424178.0599999998,3.9,1690.0,2015,32553593.76,1,0,292373.28571428574,292479.56666666665,278289.0
19.1,0.1604,19.1,3,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,1,0,290910.5714285714,290818.56666666665,254943.0
25.6,0.1604,25.6,1,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,292206.14285714284,291844.76666666666,308219.0
17.5,0.1604,17.5,5,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,295466.0,293604.9,308119.0
18.1,0.1604,18.1,6,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,295163.0,293678.73333333334,304295.0
16.7,0.1604,16.7,4,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,289093.0,292330.8333333333,263353.0
14.4,0.1604,14.4,0,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,285599.0,291613.4666666667,281975.0
14.9,0.1604,14.9,2,0.8186666666666667,174143.8,1424178.0599999998,1.7,1690.0,2015,32553593.76,1,0,285069.85714285716,290557.9666666667,274585.0
16.2,0.1604,16.2,3,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,1,0,285274.5714285714,288919.76666666666,256376.0
14.0,0.1604,14.0,1,0.8186666666666667,174143.8,1424178.0599999998,2.1,1690.0,2015,32553593.76,0,0,285597.28571428574,290340.63333333336,310478.0
13.7,0.1604,13.7,5,0.8186666666666667,174143.8,1424178.0599999998,2.2,1690.0,2015,32553593.76,0,0,285901.71428571426,292130.5,310250.0
14.7,0.1604,14.7,6,0.8186666666666667,174143.8,1424178.0599999998,0.2,1690.0,2015,32553593.76,0,0,286435.4285714286,292340.4,308031.0
17.4,0.1604,17.4,4,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,292758.85714285716,292404.8333333333,307617.0
19.9,0.1604,19.9,0,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,296423.85714285716,292226.6666666667,307630.0
15.7,0.1604,15.7,2,0.8186666666666667,174143.8,1424178.0599999998,2.0,1690.0,2015,32553593.76,1,0,296466.4285714286,291067.3333333333,274883.0
19.9,0.1604,19.9,3,0.8186666666666667,174143.8,1424178.0599999998,0.8,1690.0,2015,32553593.76,1,0,295189.0,289111.6,247434.0
15.3,0.1604,15.3,1,0.8186666666666667,174143.8,1424178.0599999998,0.5,1690.0,2015,32553593.76,0,1,288240.28571428574,288572.9,261837.0
15.8,0.1604,15.8,5,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,287655.85714285716,290036.9,306159.0
18.9,0.1604,18.9,6,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,287788.14285714284,291741.3,308957.0
16.5,0.1604,16.5,4,0.8186666666666667,174143.8,1424178.0599999998,0.7,1690.0,2015,32553593.76,0,0,288194.5714285714,291886.0333333333,310462.0
15.8,0.1604,15.8,0,0.8186666666666667,174143.8,1424178.0599999998,3.1,1690.0,2015,32553593.76,0,0,288714.14285714284,291872.76666666666,311267.0
15.4,0.1604,15.4,2,0.8186666666666667,174143.8,1424178.0599999998,-0.1,1690.0,2015,32553593.76,1,0,288165.71428571426,290533.9,271044.0
16.5,0.1604,16.5,3,0.8186666666666667,174143.8,1424178.0599999998,8.3,1690.0,2015,32553593.76,1,0,290522.0,289072.13333333336,263928.0
16.1,0.1604,16.1,1,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,296518.28571428574,290075.5333333333,303811.0
17.7,0.1604,17.7,5,0.8186666666666667,174143.8,1424178.0599999998,2.8,1690.0,2015,32553593.76,0,0,298000.28571428574,291787.23333333334,316533.0
17.7,0.1604,17.7,6,0.8186666666666667,174143.8,1424178.0599999998,-0.1,1690.0,2015,32553593.76,0,0,298071.85714285716,292130.8333333333,309458.0
22.0,0.1604,22.0,4,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,297975.85714285716,292947.1666666667,309790.0
31.8,0.1604,31.8,0,0.8186666666666667,174143.8,1424178.0599999998,8.0,1690.0,2015,32553593.76,0,0,298479.4285714286,293226.36666666664,314792.0
18.9,0.1604,18.9,2,0.8186666666666667,174143.8,1424178.0599999998,-0.1,1690.0,2015,32553593.76,1,0,298215.71428571426,292004.86666666664,269198.0
