Year,Population,GeothermalHeat (MWh),AmbientAirHeat (MWh),TotalGeothermal&GroundEnergy (MWh),TotalBiomass (MWh),TotalRes(excl.Stat.Transfer) (MWh),TotalRes(incl.Stat.Transfer) (MWh),Totaal windenergie (MWh),TotalSolarEnergy (MWh),Total Including Non-Renewable (MWh),Hydropower (MWh),OnshoreWindEnergy (MWh),OffshoreWindEnergy (MWh),SolarPower (MWh),SolarThermalEnergy (MWh),AvgElectricitySupplyResedential (MWh)_Drenthe (PV),AvgElectricitySupplyResedential (MWh)_Flevoland (PV),AvgElectricitySupplyResedential (MWh)_Fryslân (PV),AvgElectricitySupplyResedential (MWh)_Gelderland (PV),AvgElectricitySupplyResedential (MWh)_Groningen (PV),AvgElectricitySupplyResedential (MWh)_Limburg (PV),AvgElectricitySupplyResedential (MWh)_Noord-Brabant (PV),AvgElectricitySupplyResedential (MWh)_Noord-Holland (PV),AvgElectricitySupplyResedential (MWh)_Overijssel (PV),AvgElectricitySupplyResedential (MWh)_The Netherlands,AvgElectricitySupplyResedential (MWh)_Utrecht (PV),AvgElectricitySupplyResedential (MWh)_Zeeland (PV),AvgElectricitySupplyResedential (MWh)_Zuid-Holland (PV),AvgGasConsumptionResedetial_Drenthe (PV),AvgGasConsumptionResedetial_Flevoland (PV),AvgGasConsumptionResedetial_Fryslân (PV),AvgGasConsumptionResedetial_Gelderland (PV),AvgGasConsumptionResedetial_Groningen (PV),AvgGasConsumptionResedetial_Limburg (PV),AvgGasConsumptionResedetial_Noord-Brabant (PV),AvgGasConsumptionResedetial_Noord-Holland (PV),AvgGasConsumptionResedetial_Overijssel (PV),AvgGasConsumptionResedetial_The Netherlands,AvgGasConsumptionResedetial_Utrecht (PV),AvgGasConsumptionResedetial_Zeeland (PV),AvgGasConsumptionResedetial_Zuid-Holland (PV),loadConsumption,"Crude, NGL and feedstocks (MWh)",Electricity (MWh),Heat (MWh),Natural gas (MWh),Oil products (MWh),Renewables and waste (MWh),Total (MWh),GDP,PriceComponents,Periods,NG_Household_LessThan_569m3_EuroPerM3,NG_Household_569to5687m3_EuroPerM3,NG_Household_MoreThan_5687m3_EuroPerM3,NG_NonHousehold_LessThan_28433m3_EuroPerM3,NG_NonHousehold_28433to284333m3_EuroPerM3,NG_NonHousehold_284333to2843332m3_EuroPerM3,NG_NonHousehold_2843332to28433324m3_EuroPerM3,NG_NonHousehold_MoreThan_28433324m3_EuroPerM3,Electricity_Household_LessThan_1MWh_EuroPerKWh,Electricity_Household_1to2.5MWh_EuroPerKWh,Electricity_Household_2.5to5MWh_EuroPerKWh,Electricity_Household_5to15MWh_EuroPerKWh,Electricity_Household_MoreThan_15MWh_EuroPerKWh,Electricity_NonHousehold_LessThan_20MWh_EuroPerKWh,Electricity_NonHousehold_20to500MWh_EuroPerKWh,Electricity_NonHousehold_500to2000MWh_EuroPerKWh,Electricity_NonHousehold_2000to20000MWh_EuroPerKWh,Electricity_NonHousehold_20000to70000MWh_EuroPerKWh,Electricity_NonHousehold_70000to150000MWh_EuroPerKWh,Electricity_NonHousehold_MoreThan_150000MWh_EuroPerKWh,AveragePrice_Electricity_Household,AveragePrice_Electricity_NonHousehold,AveragePrice_NaturalGas_Household,AveragePrice_NaturalGas_NonHousehold,Half_Year
2018,"17,18",1217509.74,1296677.0399999998,2253906.92,25712983.479999997,43418125.12,43418125.12,10029524.68,4030587.8,587807202.42,94445.2,6578108.18,3451694.28,3709474.1199999996,321113.68,2.686666666666667,2.736666666666667,2.3366666666666664,2.69,2.476666666666667,2.8366666666666664,2.92,2.5300000000000002,2.763333333333333,2.6833333333333336,2.7266666666666666,2.4633333333333334,2.6366666666666667,1446.6666666666667,723.3333333333334,1343.3333333333333,1290.0,1426.6666666666667,1336.6666666666667,1213.3333333333333,1126.6666666666667,1280.0,1193.3333333333333,1066.6666666666667,1193.3333333333333,1073.3333333333333,116523338.0,20324544.945734058,107863786.6242936,23300762.01837248,227902334.543944,267488467.1572692,18685050.906362098,672082245.1653659,196865.025,DeliveryPrice,2018,0.876,0.708,0.67,0.667,0.625,0.393,0.289,0.283,-0.38,0.007,0.104,0.155,0.153,0.096,0.122,0.079,0.074,0.058,0.055,0.052,0.0077999999999999,0.0765714285714285,0.7513333333333333,0.4514,2018
2018,"17,18",1217509.74,1296677.0399999998,2253906.92,25712983.479999997,43418125.12,43418125.12,10029524.68,4030587.8,587807202.42,94445.2,6578108.18,3451694.28,3709474.1199999996,321113.68,2.686666666666667,2.736666666666667,2.3366666666666664,2.69,2.476666666666667,2.8366666666666664,2.92,2.5300000000000002,2.763333333333333,2.6833333333333336,2.7266666666666666,2.4633333333333334,2.6366666666666667,1446.6666666666667,723.3333333333334,1343.3333333333333,1290.0,1426.6666666666667,1336.6666666666667,1213.3333333333333,1126.6666666666667,1280.0,1193.3333333333333,1066.6666666666667,1193.3333333333333,1073.3333333333333,116523338.0,20324544.945734058,107863786.6242936,23300762.01837248,227902334.543944,267488467.1572692,18685050.906362098,672082245.1653659,196865.025,NetworkPrice,2018,0.352,0.1,0.038,0.088,0.045,0.015,0.014,0.014,0.318,0.11,0.063,0.029,0.069,0.075,0.028,0.022,0.021,0.015,0.015,0.015,0.1177999999999999,0.0272857142857142,0.1633333333333333,0.0352,2018
2019,"17,28",1309732.7,1713069.2599999998,2855300.6199999996,30123852.099999998,51287076.95999999,51287076.95999999,10773419.52,5726990.26,577116839.1199999,92778.51999999999,7428670.539999999,3344748.9799999995,5399209.859999999,327780.39999999997,2.6033333333333335,2.733333333333333,2.3733333333333335,2.6833333333333336,2.376666666666667,2.7466666666666666,2.8266666666666667,2.4933333333333336,2.6799999999999997,2.6266666666666665,2.6333333333333333,2.393333333333333,2.56,1326.6666666666667,670.0,1236.6666666666667,1186.6666666666667,1286.6666666666667,1246.6666666666667,1126.6666666666667,1043.3333333333333,1163.3333333333333,1106.6666666666667,986.6666666666666,1113.3333333333333,996.6666666666666,113924292.5375,17077831.301142998,107640236.9176762,24140974.3683196,224107303.17458802,253937752.5111506,20735314.549349483,654555155.8659279,207444.7,TotalPrice,2019,1.376,0.922,0.818,0.845,0.725,0.407,0.28,0.234,0.086,0.182,0.205,0.211,0.251,0.207,0.147,0.111,0.104,0.078,0.072,0.072,0.187,0.1129999999999999,1.0386666666666666,0.4981999999999999,2019
2019,"17,28",1309732.7,1713069.2599999998,2855300.6199999996,30123852.099999998,51287076.95999999,51287076.95999999,10773419.52,5726990.26,577116839.1199999,92778.51999999999,7428670.539999999,3344748.9799999995,5399209.859999999,327780.39999999997,2.6033333333333335,2.733333333333333,2.3733333333333335,2.6833333333333336,2.376666666666667,2.7466666666666666,2.8266666666666667,2.4933333333333336,2.6799999999999997,2.6266666666666665,2.6333333333333333,2.393333333333333,2.56,1326.6666666666667,670.0,1236.6666666666667,1186.6666666666667,1286.6666666666667,1246.6666666666667,1126.6666666666667,1043.3333333333333,1163.3333333333333,1106.6666666666667,986.6666666666666,1113.3333333333333,996.6666666666666,113924292.5375,17077831.301142998,107640236.9176762,24140974.3683196,224107303.17458802,253937752.5111506,20735314.549349483,654555155.8659279,207444.7,DeliveryPrice,2019,1.005,0.815,0.777,0.768,0.683,0.392,0.267,0.222,-0.215,0.065,0.137,0.18,0.181,0.135,0.116,0.088,0.084,0.063,0.06,0.057,0.0696,0.0861428571428571,0.8656666666666667,0.4664,2019
2019,"17,28",1309732.7,1713069.2599999998,2855300.6199999996,30123852.099999998,51287076.95999999,51287076.95999999,10773419.52,5726990.26,577116839.1199999,92778.51999999999,7428670.539999999,3344748.9799999995,5399209.859999999,327780.39999999997,2.6033333333333335,2.733333333333333,2.3733333333333335,2.6833333333333336,2.376666666666667,2.7466666666666666,2.8266666666666667,2.4933333333333336,2.6799999999999997,2.6266666666666665,2.6333333333333333,2.393333333333333,2.56,1326.6666666666667,670.0,1236.6666666666667,1186.6666666666667,1286.6666666666667,1246.6666666666667,1126.6666666666667,1043.3333333333333,1163.3333333333333,1106.6666666666667,986.6666666666666,1113.3333333333333,996.6666666666666,113924292.5375,17077831.301142998,107640236.9176762,24140974.3683196,224107303.17458802,253937752.5111506,20735314.549349483,654555155.8659279,207444.7,NetworkPrice,2019,0.371,0.107,0.04,0.078,0.042,0.015,0.013,0.013,0.301,0.117,0.069,0.031,0.07,0.072,0.031,0.023,0.02,0.015,0.012,0.015,0.1176,0.0268571428571428,0.1726666666666666,0.0322,2019
2020,"17,41",1415844.66,2225573.36,3133913.9599999995,33456934.319999997,61949106.699999996,75599215.89999999,13948722.7,9091461.62,540054320.4,90000.71999999999,8962293.92,4986428.779999999,8764792.34,326669.27999999997,2.64,2.81,2.4633333333333334,2.7566666666666664,2.43,2.7466666666666666,2.84,2.53,2.716666666666667,2.66,2.6566666666666667,2.4166666666666665,2.5933333333333333,1270.0,666.6666666666666,1196.6666666666667,1133.3333333333333,1240.0,1176.6666666666667,1073.3333333333333,993.3333333333334,1123.3333333333333,1056.6666666666667,950.0,1073.3333333333333,956.6666666666666,108137488.18,18913500.34189928,106350993.41406,22080567.02832838,213610608.0272386,250589715.9160568,19984645.13214776,636655842.379822,204174.875,TotalPrice,2020,1.463,0.982,0.868,0.919,0.805,0.386,0.271,0.222,-0.247,0.058,0.142,0.183,0.248,0.235,0.154,0.126,0.119,0.084,0.078,0.072,0.0768,0.1239999999999999,1.1043333333333334,0.5206000000000001,2020
2020,"17,41",1415844.66,2225573.36,3133913.9599999995,33456934.319999997,61949106.699999996,75599215.89999999,13948722.7,9091461.62,540054320.4,90000.71999999999,8962293.92,4986428.779999999,8764792.34,326669.27999999997,2.64,2.81,2.4633333333333334,2.7566666666666664,2.43,2.7466666666666666,2.84,2.53,2.716666666666667,2.66,2.6566666666666667,2.4166666666666665,2.5933333333333333,1270.0,666.6666666666666,1196.6666666666667,1133.3333333333333,1240.0,1176.6666666666667,1073.3333333333333,993.3333333333334,1123.3333333333333,1056.6666666666667,950.0,1073.3333333333333,956.6666666666666,108137488.18,18913500.34189928,106350993.41406,22080567.02832838,213610608.0272386,250589715.9160568,19984645.13214776,636655842.379822,204174.875,DeliveryPrice,2020,1.061,0.867,0.826,0.818,0.763,0.371,0.257,0.208,-0.555,-0.066,0.068,0.15,0.178,0.159,0.121,0.103,0.099,0.069,0.064,0.059,-0.0449999999999999,0.0962857142857142,0.918,0.4834,2020
2020,"17,41",1415844.66,2225573.36,3133913.9599999995,33456934.319999997,61949106.699999996,75599215.89999999,13948722.7,9091461.62,540054320.4,90000.71999999999,8962293.92,4986428.779999999,8764792.34,326669.27999999997,2.64,2.81,2.4633333333333334,2.7566666666666664,2.43,2.7466666666666666,2.84,2.53,2.716666666666667,2.66,2.6566666666666667,2.4166666666666665,2.5933333333333333,1270.0,666.6666666666666,1196.6666666666667,1133.3333333333333,1240.0,1176.6666666666667,1073.3333333333333,993.3333333333334,1123.3333333333333,1056.6666666666667,950.0,1073.3333333333333,956.6666666666666,108137488.18,18913500.34189928,106350993.41406,22080567.02832838,213610608.0272386,250589715.9160568,19984645.13214776,636655842.379822,204174.875,NetworkPrice,2020,0.403,0.115,0.042,0.101,0.042,0.015,0.014,0.014,0.308,0.124,0.074,0.033,0.071,0.076,0.033,0.023,0.02,0.015,0.013,0.014,0.122,0.0277142857142857,0.1866666666666666,0.0372,2020
2021,"17,48",1533345.5999999999,2918634.4599999995,3290859.6599999997,35205837.199999996,72131410.38,72131410.38,18998485.319999997,11627315.239999998,556765842.9799999,90556.27999999998,10454250.299999999,8544235.02,11303979.319999998,323335.92,2.6966666666666668,2.8366666666666664,2.5233333333333334,2.8033333333333332,2.48,2.7900000000000005,2.8833333333333333,2.5866666666666664,2.7833333333333337,2.716666666666667,2.733333333333333,2.5533333333333332,2.6566666666666667,1420.0,746.6666666666666,1336.6666666666667,1276.6666666666667,1380.0,1330.0,1200.0,1123.3333333333333,1296.6666666666667,1186.6666666666667,1066.6666666666667,1220.0,1076.6666666666667,106376800.7425,16673067.435665501,106755867.765737,23304887.18278372,230014307.01129842,247872915.4926182,20819994.97264932,650202120.1612799,222830.59999999998,TotalPrice,2021,1.451,0.99,0.875,0.938,0.848,0.502,0.406,0.437,-0.277,0.046,0.136,0.182,0.261,0.251,0.172,0.143,0.141,0.102,0.088,0.105,0.0696,0.1431428571428571,1.1053333333333333,0.6262000000000001,2021
2021,"17,48",1533345.5999999999,2918634.4599999995,3290859.6599999997,35205837.199999996,72131410.38,72131410.38,18998485.319999997,11627315.239999998,556765842.9799999,90556.27999999998,10454250.299999999,8544235.02,11303979.319999998,323335.92,2.6966666666666668,2.8366666666666664,2.5233333333333334,2.8033333333333332,2.48,2.7900000000000005,2.8833333333333333,2.5866666666666664,2.7833333333333337,2.716666666666667,2.733333333333333,2.5533333333333332,2.6566666666666667,1420.0,746.6666666666666,1336.6666666666667,1276.6666666666667,1380.0,1330.0,1200.0,1123.3333333333333,1296.6666666666667,1186.6666666666667,1066.6666666666667,1220.0,1076.6666666666667,106376800.7425,16673067.435665501,106755867.765737,23304887.18278372,230014307.01129842,247872915.4926182,20819994.97264932,650202120.1612799,222830.59999999998,DeliveryPrice,2021,1.065,0.876,0.833,0.835,0.805,0.488,0.392,0.422,-0.594,-0.082,0.06,0.148,0.18,0.158,0.136,0.117,0.119,0.084,0.069,0.085,-0.0575999999999999,0.1097142857142857,0.9246666666666666,0.5884,2021
2021,"17,48",1533345.5999999999,2918634.4599999995,3290859.6599999997,35205837.199999996,72131410.38,72131410.38,18998485.319999997,11627315.239999998,556765842.9799999,90556.27999999998,10454250.299999999,8544235.02,11303979.319999998,323335.92,2.6966666666666668,2.8366666666666664,2.5233333333333334,2.8033333333333332,2.48,2.7900000000000005,2.8833333333333333,2.5866666666666664,2.7833333333333337,2.716666666666667,2.733333333333333,2.5533333333333332,2.6566666666666667,1420.0,746.6666666666666,1336.6666666666667,1276.6666666666667,1380.0,1330.0,1200.0,1123.3333333333333,1296.6666666666667,1186.6666666666667,1066.6666666666667,1220.0,1076.6666666666667,106376800.7425,16673067.435665501,106755867.765737,23304887.18278372,230014307.01129842,247872915.4926182,20819994.97264932,650202120.1612799,222830.59999999998,NetworkPrice,2021,0.386,0.114,0.042,0.104,0.043,0.014,0.014,0.015,0.317,0.128,0.076,0.034,0.08,0.093,0.036,0.026,0.022,0.018,0.019,0.02,0.127,0.0334285714285714,0.1806666666666666,0.038,2021
