Year,PriceComponents,Periods,NG_Household_LessThan_569m3_EuroPerM3,NG_Household_569to5687m3_EuroPerM3,NG_Household_MoreThan_5687m3_EuroPerM3,NG_NonHousehold_LessThan_28433m3_EuroPerM3,NG_NonHousehold_28433to284333m3_EuroPerM3,NG_NonHousehold_284333to2843332m3_EuroPerM3,NG_NonHousehold_2843332to28433324m3_EuroPerM3,NG_NonHousehold_MoreThan_28433324m3_EuroPerM3,Electricity_Household_LessThan_1MWh_EuroPerKWh,Electricity_Household_1to2.5MWh_EuroPerKWh,Electricity_Household_2.5to5MWh_EuroPerKWh,Electricity_Household_5to15MWh_EuroPerKWh,Electricity_Household_MoreThan_15MWh_EuroPerKWh,Electricity_NonHousehold_LessThan_20MWh_EuroPerKWh,Electricity_NonHousehold_20to500MWh_EuroPerKWh,Electricity_NonHousehold_500to2000MWh_EuroPerKWh,Electricity_NonHousehold_2000to20000MWh_EuroPerKWh,Electricity_NonHousehold_20000to70000MWh_EuroPerKWh,Electricity_NonHousehold_70000to150000MWh_EuroPerKWh,Electricity_NonHousehold_MoreThan_150000MWh_EuroPerKWh,AveragePrice_Electricity_Household,AveragePrice_Electricity_NonHousehold,AveragePrice_NaturalGas_Household,AveragePrice_NaturalGas_NonHousehold
2012,TotalPrice,2012 2e halfjaar,1.235,0.825,0.723,0.744,0.621,0.411,0.357,0.321,-0.131,0.134,0.187,0.201,0.209,0.193,0.131,0.115,0.104,0.086,0.084,0.076,0.12,0.1127142857142857,0.9276666666666666,0.4908
2012,TotalPrice,2012,1.095,0.763,0.689,0.708,0.612,0.426,0.351,0.316,-0.123,0.134,0.186,0.201,0.232,0.194,0.151,0.115,0.102,0.087,0.084,0.073,0.126,0.11514285714285712,0.8490000000000001,0.48259999999999986
2013,TotalPrice,2013 1e halfjaar,1.034,0.772,0.747,0.74,0.665,0.492,0.385,0.341,-0.11,0.14,0.19,0.204,0.262,0.192,0.177,0.115,0.107,0.094,0.09,0.088,0.13720000000000002,0.12328571428571426,0.851,0.5246000000000001
2013,TotalPrice,2013 2e halfjaar,1.34,0.843,0.757,0.758,0.687,0.411,0.37,0.337,-0.119,0.139,0.191,0.204,0.213,0.203,0.135,0.115,0.105,0.093,0.094,0.09,0.1256,0.11928571428571429,0.98,0.5126000000000001
2013,TotalPrice,2013,1.14,0.797,0.75,0.748,0.676,0.46,0.38,0.34,-0.114,0.139,0.19,0.204,0.239,0.198,0.155,0.115,0.106,0.093,0.092,0.089,0.1316,0.12114285714285712,0.8956666666666666,0.5207999999999999
2014,TotalPrice,2014 1e halfjaar,1.111,0.771,0.707,0.739,0.682,0.484,0.363,0.321,-0.161,0.125,0.184,0.201,0.268,0.216,0.175,0.113,0.102,0.089,0.089,0.079,0.1234,0.12328571428571426,0.863,0.5178
2014,TotalPrice,2014 2e halfjaar,1.248,0.801,0.715,0.745,0.686,0.397,0.321,0.278,-0.169,0.12,0.18,0.199,0.206,0.201,0.132,0.107,0.099,0.082,0.086,0.08,0.10719999999999999,0.11242857142857142,0.9213333333333332,0.4854
2014,TotalPrice,2014,1.17,0.784,0.71,0.741,0.684,0.446,0.342,0.3,-0.165,0.122,0.182,0.201,0.237,0.208,0.153,0.11,0.101,0.086,0.087,0.079,0.11539999999999999,0.11771428571428569,0.8879999999999999,0.5025999999999999
2015,TotalPrice,2015 1e halfjaar,1.037,0.739,0.68,0.715,0.648,0.46,0.36,0.298,-0.025,0.156,0.199,0.209,0.263,0.22,0.173,0.11,0.099,0.086,0.086,0.081,0.16040000000000001,0.12214285714285712,0.8186666666666667,0.4962
2015,TotalPrice,2015 2e halfjaar,1.312,0.784,0.678,0.719,0.67,0.379,0.312,0.265,-0.096,0.135,0.184,0.199,0.198,0.214,0.128,0.103,0.097,0.077,0.081,0.078,0.12400000000000003,0.11114285714285711,0.9246666666666666,0.46900000000000003
2015,TotalPrice,2015,1.139,0.755,0.673,0.717,0.657,0.43,0.339,0.283,-0.06,0.146,0.192,0.204,0.218,0.217,0.151,0.106,0.098,0.081,0.084,0.079,0.13999999999999999,0.11657142857142855,0.8556666666666667,0.4852
2016,TotalPrice,2016 1e halfjaar,1.063,0.762,0.698,0.75,0.684,0.453,0.303,0.214,-0.11,0.114,0.162,0.175,0.243,0.189,0.168,0.105,0.093,0.079,0.074,0.07,0.11679999999999999,0.11114285714285711,0.8409999999999999,0.48080000000000006
2016,TotalPrice,2016 2e halfjaar,1.277,0.79,0.696,0.751,0.667,0.34,0.286,0.22,-0.106,0.112,0.159,0.173,0.202,0.179,0.123,0.097,0.093,0.071,0.071,0.071,0.10800000000000001,0.10071428571428569,0.9209999999999999,0.45280000000000004
2016,TotalPrice,2016,1.142,0.771,0.696,0.749,0.676,0.407,0.295,0.217,-0.108,0.113,0.16,0.174,0.222,0.184,0.145,0.102,0.093,0.075,0.072,0.07,0.1122,0.10585714285714284,0.8696666666666667,0.46880000000000005
2017,TotalPrice,2017 1e halfjaar,1.112,0.746,0.659,0.738,0.655,0.432,0.3,0.247,-0.117,0.106,0.156,0.173,0.225,0.196,0.165,0.1,0.094,0.074,0.067,0.066,0.10859999999999999,0.10885714285714286,0.8390000000000001,0.4744
2017,TotalPrice,2017 2e halfjaar,1.328,0.795,0.68,0.743,0.645,0.318,0.271,0.238,-0.118,0.105,0.156,0.173,0.188,0.199,0.113,0.092,0.092,0.063,0.062,0.065,0.1008,0.09799999999999999,0.9343333333333335,0.44299999999999995
2017,TotalPrice,2017,1.2,0.766,0.668,0.739,0.651,0.381,0.286,0.242,-0.118,0.106,0.156,0.172,0.207,0.197,0.14,0.095,0.093,0.069,0.064,0.065,0.1046,0.1032857142857143,0.878,0.4598
2018,TotalPrice,2018 1e halfjaar,1.155,0.796,0.711,0.741,0.675,0.454,0.31,0.273,-0.026,0.126,0.171,0.185,0.24,0.166,0.173,0.105,0.094,0.077,0.068,0.065,0.1392,0.10685714285714283,0.8873333333333333,0.4906
2018,TotalPrice,2018 2e halfjaar,1.336,0.826,0.705,0.777,0.664,0.351,0.296,0.307,-0.097,0.108,0.162,0.184,0.203,0.196,0.127,0.098,0.096,0.069,0.071,0.069,0.11200000000000002,0.10371428571428572,0.9556666666666667,0.479
2018,TotalPrice,2018,1.227,0.808,0.709,0.755,0.67,0.408,0.303,0.297,-0.062,0.117,0.167,0.184,0.222,0.171,0.15,0.101,0.095,0.073,0.07,0.067,0.1256,0.10385714285714284,0.9146666666666667,0.48660000000000003
2019,TotalPrice,2019 1e halfjaar,1.272,0.902,0.821,0.842,0.754,0.457,0.308,0.264,0.078,0.181,0.205,0.211,0.267,0.222,0.165,0.114,0.105,0.085,0.076,0.073,0.18839999999999998,0.11999999999999998,0.9983333333333334,0.525
2019,TotalPrice,2019 2e halfjaar,1.484,0.943,0.811,0.86,0.695,0.336,0.248,0.192,0.095,0.182,0.205,0.21,0.235,0.192,0.129,0.109,0.104,0.072,0.068,0.071,0.18539999999999998,0.10642857142857141,1.0793333333333333,0.46620000000000006
2019,TotalPrice,2019,1.376,0.922,0.818,0.845,0.725,0.407,0.28,0.234,0.086,0.182,0.205,0.211,0.251,0.207,0.147,0.111,0.104,0.078,0.072,0.072,0.187,0.11299999999999998,1.0386666666666666,0.4981999999999999
2020,TotalPrice,2020 1e halfjaar,1.392,0.979,0.881,0.933,0.803,0.461,0.284,0.223,-0.222,0.066,0.147,0.187,0.262,0.236,0.178,0.129,0.118,0.09,0.078,0.082,0.088,0.13014285714285712,1.0839999999999999,0.5408
2020,TotalPrice,2020 2e halfjaar,1.57,0.987,0.849,0.913,0.806,0.327,0.256,0.221,-0.274,0.049,0.136,0.179,0.233,0.233,0.139,0.125,0.119,0.076,0.076,0.07,0.06459999999999999,0.11971428571428569,1.1353333333333333,0.5046000000000002
2020,TotalPrice,2020,1.463,0.982,0.868,0.919,0.805,0.386,0.271,0.222,-0.247,0.058,0.142,0.183,0.248,0.235,0.154,0.126,0.119,0.084,0.078,0.072,0.07680000000000001,0.12399999999999999,1.1043333333333334,0.5206000000000001
2021,TotalPrice,2021 1e halfjaar,1.319,0.939,0.84,0.912,0.818,0.483,0.33,0.301,-0.282,0.038,0.128,0.174,0.264,0.243,0.184,0.136,0.128,0.099,0.082,0.082,0.06440000000000001,0.13628571428571426,1.0326666666666666,0.5688000000000001
2021,TotalPrice,2021 2e halfjaar,1.664,1.071,0.929,0.976,0.883,0.522,0.504,0.614,-0.272,0.055,0.145,0.19,0.257,0.258,0.161,0.15,0.154,0.105,0.094,0.127,0.075,0.14985714285714286,1.2213333333333332,0.6998
2021,TotalPrice,2021,1.451,0.99,0.875,0.938,0.848,0.502,0.406,0.437,-0.277,0.046,0.136,0.182,0.261,0.251,0.172,0.143,0.141,0.102,0.088,0.105,0.0696,0.14314285714285716,1.1053333333333333,0.6262000000000001
2022,TotalPrice,2022 1e halfjaar,1.665,1.265,1.173,1.261,1.072,0.901,0.758,0.966,-0.652,-0.104,0.059,0.149,0.262,0.225,0.239,0.208,0.21,0.187,0.172,0.185,-0.05720000000000001,0.2037142857142857,1.3676666666666666,0.9916
2022,TotalPrice,2022 2e halfjaar,2.204,1.938,1.701,1.746,1.105,0.72,0.802,1.203,-0.519,-0.007,0.156,0.25,0.366,0.323,0.232,0.197,0.228,0.178,0.169,0.193,0.0492,0.21714285714285714,1.9476666666666667,1.1152
2022,TotalPrice,2022,1.9,1.519,1.353,1.414,1.084,0.828,0.775,1.063,-0.585,-0.058,0.105,0.197,0.311,0.278,0.235,0.201,0.219,0.183,0.171,0.189,-0.006000000000000005,0.21085714285714285,1.5906666666666665,1.0328
2023,TotalPrice,2023 1e halfjaar,2.012,1.913,2.123,1.975,1.614,1.024,0.963,0.841,-0.05,0.235,0.371,0.471,0.61,0.526,0.353,0.29,0.304,0.266,0.289,0.268,0.3274,0.328,2.016,1.2834
2023,TotalPrice,2023 2e halfjaar*,2.112,1.54,1.362,1.59,1.475,0.754,0.714,0.576,-0.045,0.179,0.266,0.303,0.361,0.379,0.287,0.251,0.278,0.217,0.291,0.237,0.21280000000000002,0.27714285714285714,1.6713333333333333,1.0218
2023,TotalPrice,2023*,2.043,1.764,1.802,1.801,1.558,0.915,0.845,0.706,-0.047,0.206,0.317,0.384,0.485,0.453,0.321,0.269,0.291,0.239,0.29,0.25,0.269,0.3018571428571429,1.8696666666666666,1.1649999999999998
2024,TotalPrice,2024 1e halfjaar*,1.924,1.588,1.417,1.594,1.467,0.849,0.736,0.555,-0.041,0.193,0.269,0.293,0.38,0.376,0.324,0.24,0.232,0.201,0.24,0.174,0.21879999999999997,0.2552857142857143,1.643,1.0402
2009,DeliveryPrice,2009 1e halfjaar,0.793,0.716,0.687,0.697,0.621,0.443,0.364,0.268,-0.367,0.039,0.138,0.188,0.196,0.178,0.157,0.109,0.1,0.094,0.092,0.07,0.0388,0.11428571428571425,0.7319999999999999,0.47859999999999997
2009,DeliveryPrice,2009 2e halfjaar,0.655,0.551,0.522,0.535,0.545,0.385,0.312,0.226,-0.385,0.029,0.129,0.181,0.143,0.177,0.117,0.104,0.098,0.085,0.082,0.062,0.0194,0.10357142857142855,0.576,0.4006
2009,DeliveryPrice,2009,0.735,0.647,0.615,0.638,0.592,0.416,0.338,0.245,-0.376,0.034,0.134,0.185,0.17,0.177,0.137,0.106,0.099,0.09,0.086,0.066,0.02940000000000001,0.1087142857142857,0.6656666666666667,0.44580000000000003
2010,DeliveryPrice,2010 1e halfjaar,0.67,0.586,0.56,0.571,0.506,0.375,0.286,0.218,-0.395,0.019,0.119,0.17,0.174,0.173,0.145,0.098,0.088,0.077,0.075,0.065,0.0174,0.10299999999999998,0.6053333333333334,0.3912
2010,DeliveryPrice,2010 2e halfjaar,0.694,0.598,0.563,0.546,0.53,0.342,0.288,0.246,-0.389,0.022,0.12,0.17,0.124,0.16,0.104,0.093,0.088,0.071,0.074,0.067,0.009400000000000002,0.09385714285714283,0.6183333333333333,0.3904
2010,DeliveryPrice,2010,0.681,0.592,0.561,0.563,0.517,0.361,0.287,0.232,-0.392,0.021,0.12,0.17,0.152,0.166,0.124,0.096,0.088,0.074,0.075,0.066,0.0142,0.09842857142857141,0.6113333333333334,0.392
2011,DeliveryPrice,2011 1e halfjaar,0.687,0.596,0.593,0.568,0.53,0.401,0.311,0.278,-0.397,0.018,0.117,0.167,0.173,0.146,0.135,0.094,0.085,0.074,0.073,0.066,0.015599999999999998,0.09614285714285715,0.6253333333333333,0.4176
2011,DeliveryPrice,2011 2e halfjaar,0.795,0.659,0.639,0.608,0.565,0.358,0.301,0.288,-0.397,0.018,0.117,0.168,0.125,0.144,0.097,0.089,0.085,0.069,0.075,0.068,0.0062,0.08957142857142857,0.6976666666666667,0.42400000000000004
2011,DeliveryPrice,2011,0.732,0.622,0.613,0.585,0.546,0.383,0.306,0.283,-0.397,0.018,0.117,0.167,0.148,0.145,0.116,0.092,0.085,0.072,0.074,0.067,0.010599999999999998,0.093,0.6556666666666667,0.42060000000000003
2012,DeliveryPrice,2012 1e halfjaar,0.733,0.645,0.631,0.628,0.563,0.422,0.333,0.306,-0.406,0.019,0.119,0.17,0.178,0.149,0.136,0.09,0.081,0.071,0.068,0.06,0.015999999999999997,0.09357142857142857,0.6696666666666667,0.45039999999999997
2012,DeliveryPrice,2012 2e halfjaar,0.834,0.707,0.669,0.662,0.571,0.389,0.339,0.315,-0.442,0.01,0.116,0.169,0.127,0.146,0.095,0.089,0.083,0.07,0.068,0.066,-0.003999999999999998,0.08814285714285715,0.7366666666666667,0.45520000000000005
2012,DeliveryPrice,2012,0.774,0.669,0.646,0.639,0.566,0.407,0.336,0.311,-0.423,0.014,0.118,0.17,0.153,0.148,0.116,0.089,0.082,0.071,0.068,0.063,0.0064000000000000055,0.091,0.6963333333333334,0.4518000000000001
2013,DeliveryPrice,2013 1e halfjaar,0.782,0.697,0.711,0.668,0.618,0.479,0.363,0.333,-0.424,0.015,0.119,0.172,0.178,0.154,0.145,0.089,0.084,0.074,0.07,0.068,0.012,0.09771428571428574,0.73,0.4922000000000001
2013,DeliveryPrice,2013 2e halfjaar,0.862,0.7,0.689,0.667,0.636,0.397,0.345,0.329,-0.447,0.009,0.117,0.171,0.125,0.161,0.102,0.087,0.082,0.07,0.07,0.066,-0.004999999999999999,0.09114285714285716,0.7503333333333333,0.4748
2013,DeliveryPrice,2013,0.81,0.698,0.703,0.668,0.627,0.446,0.357,0.332,-0.435,0.012,0.118,0.171,0.153,0.158,0.123,0.088,0.083,0.071,0.07,0.067,0.0038000000000000035,0.09428571428571428,0.737,0.48599999999999993
2014,DeliveryPrice,2014 1e halfjaar,0.824,0.686,0.668,0.666,0.636,0.472,0.349,0.307,-0.464,0.004,0.115,0.17,0.184,0.164,0.139,0.088,0.08,0.069,0.064,0.057,0.001799999999999996,0.09442857142857145,0.726,0.48600000000000004
2014,DeliveryPrice,2014 2e halfjaar,0.87,0.69,0.664,0.662,0.64,0.383,0.306,0.264,-0.478,-0.003,0.11,0.167,0.121,0.156,0.094,0.081,0.076,0.061,0.06,0.057,-0.016599999999999997,0.08357142857142859,0.7413333333333334,0.45099999999999996
2014,DeliveryPrice,2014,0.844,0.688,0.666,0.664,0.638,0.433,0.328,0.286,-0.471,0.0,0.112,0.169,0.153,0.16,0.116,0.084,0.078,0.065,0.062,0.057,-0.007399999999999995,0.08885714285714288,0.7326666666666667,0.46980000000000005
2015,DeliveryPrice,2015 1e halfjaar,0.783,0.666,0.647,0.652,0.609,0.448,0.348,0.286,-0.321,0.039,0.132,0.178,0.183,0.158,0.137,0.086,0.078,0.067,0.062,0.059,0.042199999999999994,0.09242857142857143,0.6986666666666667,0.4686
2015,DeliveryPrice,2015 2e halfjaar,0.869,0.658,0.62,0.637,0.627,0.366,0.298,0.252,-0.389,0.019,0.118,0.169,0.119,0.153,0.092,0.079,0.076,0.058,0.058,0.056,0.007200000000000001,0.08171428571428573,0.7156666666666668,0.43599999999999994
2015,DeliveryPrice,2015,0.816,0.663,0.631,0.646,0.616,0.418,0.326,0.27,-0.354,0.029,0.126,0.174,0.138,0.155,0.115,0.082,0.077,0.062,0.06,0.057,0.02260000000000001,0.08685714285714287,0.7033333333333335,0.45519999999999994
2016,DeliveryPrice,2016 1e halfjaar,0.822,0.694,0.667,0.684,0.644,0.44,0.29,0.201,-0.402,-0.003,0.095,0.145,0.162,0.123,0.135,0.082,0.072,0.06,0.056,0.05,-0.0006000000000000117,0.08257142857142859,0.7276666666666666,0.4518
2016,DeliveryPrice,2016 2e halfjaar,0.857,0.672,0.642,0.671,0.625,0.325,0.27,0.205,-0.394,-0.004,0.093,0.143,0.121,0.115,0.091,0.075,0.072,0.052,0.053,0.051,-0.008200000000000013,0.07271428571428572,0.7236666666666666,0.4192
2016,DeliveryPrice,2016,0.836,0.685,0.657,0.678,0.636,0.394,0.281,0.203,-0.398,-0.003,0.094,0.144,0.141,0.119,0.113,0.079,0.072,0.056,0.054,0.05,-0.004400000000000015,0.07757142857142858,0.726,0.4384
2017,DeliveryPrice,2017 1e halfjaar,0.795,0.664,0.621,0.66,0.615,0.418,0.285,0.231,-0.4,-0.006,0.092,0.143,0.157,0.129,0.135,0.077,0.07,0.059,0.052,0.049,-0.0028000000000000134,0.08157142857142859,0.6933333333333334,0.4417999999999999
2017,DeliveryPrice,2017 2e halfjaar,0.875,0.678,0.625,0.652,0.6,0.302,0.254,0.222,-0.405,-0.008,0.091,0.142,0.119,0.134,0.083,0.07,0.068,0.047,0.047,0.048,-0.012200000000000016,0.071,0.726,0.406
2017,DeliveryPrice,2017,0.827,0.67,0.623,0.656,0.609,0.366,0.27,0.226,-0.403,-0.007,0.091,0.142,0.138,0.131,0.11,0.073,0.069,0.053,0.049,0.048,-0.007800000000000013,0.07614285714285715,0.7066666666666667,0.42540000000000006
2018,DeliveryPrice,2018 1e halfjaar,0.832,0.703,0.676,0.66,0.633,0.439,0.297,0.255,-0.364,0.009,0.104,0.154,0.171,0.089,0.144,0.082,0.072,0.062,0.053,0.049,0.014800000000000002,0.07871428571428572,0.737,0.45680000000000004
2018,DeliveryPrice,2018 2e halfjaar,0.942,0.715,0.662,0.678,0.615,0.335,0.28,0.293,-0.394,0.005,0.104,0.157,0.135,0.123,0.1,0.076,0.075,0.054,0.056,0.054,0.0013999999999999956,0.07685714285714286,0.773,0.44020000000000004
2018,DeliveryPrice,2018,0.876,0.708,0.67,0.667,0.625,0.393,0.289,0.283,-0.38,0.007,0.104,0.155,0.153,0.096,0.122,0.079,0.074,0.058,0.055,0.052,0.007799999999999996,0.07657142857142858,0.7513333333333333,0.4514
2019,DeliveryPrice,2019 1e halfjaar,0.97,0.815,0.788,0.778,0.714,0.443,0.296,0.252,-0.222,0.065,0.137,0.18,0.196,0.144,0.134,0.091,0.085,0.07,0.064,0.058,0.0712,0.0922857142857143,0.8576666666666667,0.49659999999999993
2019,DeliveryPrice,2019 2e halfjaar,1.05,0.815,0.762,0.755,0.651,0.32,0.234,0.178,-0.207,0.065,0.136,0.179,0.166,0.125,0.098,0.086,0.084,0.057,0.056,0.056,0.0678,0.0802857142857143,0.8756666666666666,0.4276000000000001
2019,DeliveryPrice,2019,1.005,0.815,0.777,0.768,0.683,0.392,0.267,0.222,-0.215,0.065,0.137,0.18,0.181,0.135,0.116,0.088,0.084,0.063,0.06,0.057,0.0696,0.08614285714285716,0.8656666666666667,0.4664
2020,DeliveryPrice,2020 1e halfjaar,1.035,0.878,0.844,0.838,0.763,0.447,0.272,0.211,-0.535,-0.06,0.072,0.153,0.192,0.159,0.145,0.106,0.099,0.075,0.066,0.059,-0.0356,0.10128571428571427,0.9189999999999999,0.5062
2020,DeliveryPrice,2020 2e halfjaar,1.102,0.852,0.799,0.802,0.763,0.311,0.24,0.205,-0.577,-0.073,0.064,0.147,0.162,0.159,0.107,0.101,0.099,0.06,0.062,0.058,-0.05539999999999996,0.0922857142857143,0.9176666666666667,0.46419999999999995
2020,DeliveryPrice,2020,1.061,0.867,0.826,0.818,0.763,0.371,0.257,0.208,-0.555,-0.066,0.068,0.15,0.178,0.159,0.121,0.103,0.099,0.069,0.064,0.059,-0.044999999999999984,0.09628571428571428,0.918,0.48340000000000005
2021,DeliveryPrice,2021 1e halfjaar,0.994,0.843,0.804,0.819,0.776,0.47,0.316,0.287,-0.595,-0.089,0.052,0.14,0.185,0.154,0.148,0.11,0.105,0.08,0.064,0.061,-0.061399999999999975,0.10314285714285713,0.8803333333333333,0.5336
2021,DeliveryPrice,2021 2e halfjaar,1.19,0.931,0.877,0.857,0.837,0.507,0.489,0.597,-0.593,-0.075,0.068,0.155,0.176,0.162,0.125,0.124,0.132,0.087,0.075,0.107,-0.05379999999999997,0.11599999999999999,0.9993333333333334,0.6574
2021,DeliveryPrice,2021,1.065,0.876,0.833,0.835,0.805,0.488,0.392,0.422,-0.594,-0.082,0.06,0.148,0.18,0.158,0.136,0.117,0.119,0.084,0.069,0.085,-0.05759999999999997,0.10971428571428572,0.9246666666666666,0.5884
2022,DeliveryPrice,2022 1e halfjaar,1.293,1.165,1.136,1.148,1.03,0.887,0.745,0.946,-1.031,-0.258,-0.032,0.109,0.203,0.121,0.199,0.18,0.185,0.166,0.153,0.163,-0.20179999999999998,0.16671428571428573,1.1980000000000002,0.9512
2022,DeliveryPrice,2022 2e halfjaar,1.737,1.812,1.656,1.632,1.061,0.706,0.788,1.178,-0.783,-0.114,0.093,0.222,0.325,0.231,0.197,0.171,0.206,0.16,0.153,0.174,-0.051400000000000015,0.18457142857142858,1.735,1.073
2022,DeliveryPrice,2022,1.488,1.408,1.313,1.3,1.041,0.814,0.762,1.041,-0.899,-0.186,0.029,0.164,0.262,0.18,0.198,0.175,0.196,0.163,0.153,0.168,-0.126,0.17614285714285713,1.4029999999999998,0.9916
2023,DeliveryPrice,2023 1e halfjaar,1.653,1.795,2.083,1.82,1.546,1.005,0.941,0.807,-0.45,0.066,0.27,0.427,0.538,0.413,0.297,0.249,0.267,0.237,0.257,0.236,0.1702,0.27942857142857147,1.8436666666666668,1.2238000000000002
2023,DeliveryPrice,2023 2e halfjaar*,1.518,1.344,1.295,1.423,1.401,0.735,0.693,0.54,-0.457,0.005,0.162,0.258,0.286,0.269,0.233,0.216,0.241,0.189,0.259,0.211,0.05079999999999999,0.23114285714285715,1.3856666666666666,0.9583999999999999
2023,DeliveryPrice,2023*,1.595,1.617,1.752,1.639,1.487,0.896,0.824,0.671,-0.453,0.034,0.215,0.34,0.412,0.342,0.266,0.232,0.254,0.211,0.258,0.221,0.10959999999999999,0.2548571428571429,1.6546666666666665,1.1034000000000002
2024,DeliveryPrice,2024 1e halfjaar*,1.555,1.435,1.373,1.47,1.409,0.831,0.717,0.526,-0.536,-0.02,0.143,0.239,0.29,0.242,0.257,0.194,0.186,0.165,0.194,0.135,0.023199999999999988,0.19614285714285715,1.4543333333333335,0.9905999999999999
2009,NetworkPrice,2009 1e halfjaar,0.264,0.075,0.035,0.055,0.041,0.016,0.01,0.008,0.264,0.105,0.06,0.028,0.061,0.034,0.03,0.023,0.018,0.014,0.012,0.01,0.1036,0.020142857142857146,0.12466666666666666,0.026000000000000002
2009,NetworkPrice,2009 2e halfjaar,0.376,0.107,0.05,0.087,0.067,0.022,0.018,0.014,0.268,0.107,0.061,0.028,0.062,0.034,0.03,0.023,0.018,0.014,0.012,0.01,0.1052,0.020142857142857146,0.17766666666666667,0.0416
2009,NetworkPrice,2009,0.31,0.088,0.041,0.068,0.052,0.019,0.014,0.01,0.266,0.106,0.061,0.028,0.062,0.034,0.03,0.023,0.018,0.014,0.012,0.01,0.1046,0.020142857142857146,0.14633333333333334,0.032600000000000004
2010,NetworkPrice,2010 1e halfjaar,0.273,0.078,0.033,0.05,0.039,0.015,0.01,0.008,0.253,0.101,0.058,0.026,0.063,0.038,0.03,0.022,0.018,0.014,0.012,0.009,0.1002,0.02042857142857143,0.128,0.024399999999999998
