Country,Product,Flow,NoCountry,NoProduct,NoFlow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 Provisional
Netherlands,Oil products,"Electricity, CHP and heat plants (PJ)",26. Netherlands,03. Oil products,"05. Electricity, CHP and heat plants (PJ)",-117.0873998,-101.6909997,-64.98759752,-39.90339853,-37.75899912,-34.98600193,-41.90079939,-87.34340131,-199.1033996,-215.3729988,-211.6130012,-131.7622971,-59.61010091,-32.04010246,-30.31280044,-32.28040385,-32.9419015,-33.14460123,-32.28689757,-25.76569699,-35.68489608,-35.34780006,-33.26780201,-42.85269768,-66.74660199,-64.60750307,-74.10640187,-78.93070497,-71.47500225,-66.72020003,-65.03170127,-68.30479916,-70.96070412,-67.64660071,-64.24369946,-35.4882044,-38.68699915,-37.70769826,-29.86719931,-29.51809974,-35.34149893,-30.87909863,-31.33389816,-46.56679959,-29.40573022,-27.42313388,-22.6228965,-22.96368109,-23.73056469,-19.86971963,-19.32889392,-23.85700605,..
Netherlands,Oil products,"Oil refineries, transformation (PJ)",26. Netherlands,03. Oil products,"06. Oil refineries, transformation (PJ)",2544.906199,2914.535899,3061.547899,2696.7195,2382.568099,2722.450602,2544.275998,2548.805998,2762.928199,2425.171302,2165.391599,2271.434099,2525.543501,2643.4062,2371.272201,2873.878198,2885.415001,2956.264399,2978.705002,2092.848201,2252.457202,2321.255101,2352.8387,2348.398101,2534.294901,2595.836398,2563.707598,2624.899301,2482.6493,2504.954699,2486.979598,2285.825299,2399.586298,2486.530099,2517.5917,2458.449499,2394.335302,2406.805401,2355.1461,2478.6167,2437.730299,2424.5202,2368.859101,2419.820002,2532.512539,2564.126132,2543.996445,2599.331836,2646.51098,2365.889605,2521.841826,2495.751329,..
Netherlands,Oil products,Total final consumption (PJ),26. Netherlands,03. Oil products,07. Total final consumption (PJ),819.4848007,919.800198,982.4546007,874.2294004,812.0157002,984.5385009,905.339602,1007.984602,1114.174699,1019.5161,986.3038986,765.6332999,857.7107997,850.1401986,826.3472004,1038.411601,889.5158008,778.5696997,760.9426981,809.9267676,780.2572857,803.1451564,788.6138622,811.6993121,821.7103361,855.2767282,850.8615675,849.9624983,872.8886782,860.7895966,877.9444527,903.9267078,993.2251563,991.6398872,981.1306634,1008.011163,1014.433777,965.5197944,952.3434617,1008.90288,952.9046771,969.0548227,915.8918955,865.0242391,892.3642064,933.7602368,968.6972658,962.9577114,914.1751777,902.1222556,892.3417819,821.3562166,..
Netherlands,Oil products,Industry (PJ),26. Netherlands,03. Oil products,08. Industry (PJ),114.0368011,107.756802,111.0552008,88.63319948,72.93390109,87.05609891,68.35239889,105.5027001,125.1134996,106.4423017,116.8684009,86.64390007,93.88530143,100.0458008,90.89330111,89.96159994,97.98499924,43.00410074,44.30630021,133.8947014,119.2817017,118.392798,121.058902,121.1266989,113.3811984,122.2684016,111.4696018,104.7232017,123.6101998,115.5881989,124.3745001,135.1548989,141.2613006,136.3195996,133.4324786,155.9472552,163.2251864,144.2369347,139.6185552,149.2775572,133.45528,146.7139628,136.1341453,139.2841722,135.3334449,151.9745975,149.173733,149.5737649,137.0813921,149.6430272,141.8744575,137.5231078,..
Netherlands,Oil products,Transport (PJ),26. Netherlands,03. Oil products,09. Transport (PJ),239.8070003,256.4325989,270.3421994,251.526201,270.8658006,312.1428002,322.2073985,316.4913991,308.1868018,314.3789994,320.1055998,307.5984015,314.3812017,320.0705982,318.3262014,330.9243999,332.6085988,345.8059995,361.4966019,381.0890004,387.5688019,407.889398,419.8796019,412.1930014,415.9596016,433.2508009,432.8949982,442.4536008,449.3412008,448.4992018,452.1991984,462.4289994,469.1420015,476.1831985,479.0869997,491.0144016,480.6195987,485.350398,464.7392003,472.761599,473.6554012,453.1822004,431.7593999,394.231801,400.5029576,402.4793156,413.2340492,413.4432804,407.7062674,346.5149126,349.0112461,347.0440237,..
Netherlands,Oil products,Residential (PJ),26. Netherlands,03. Oil products,10. Residential (PJ),182.7899981,196.7590009,198.3007984,129.0065998,105.4526008,104.2441983,101.004599,88.29879976,87.44740142,58.99099879,47.75359829,54.67759834,56.84379841,21.26999907,15.59819973,14.97180002,13.38800057,10.94499858,10.56799818,10.1770013,9.786000233,9.050798153,9.657800417,8.340398676,5.74699846,5.179000424,3.96039879,3.707800772,3.497799258,3.14679888,2.936801552,2.634799295,2.378801596,2.123201642,1.867199756,1.749198985,1.703198614,1.795199357,1.795199357,1.979200843,1.660200178,1.752200921,1.844201664,1.568199434,1.548885726,1.539980402,1.535806163,1.529324996,1.524250595,1.519264116,1.514403241,1.509630289,..
Netherlands,Oil products,Commercial and public services (PJ),26. Netherlands,03. Oil products,11. Commercial and public services (PJ),51.61399955,59.05200047,44.97520013,37.98200065,54.41019998,77.24159913,58.41579946,50.67140014,46.50480145,31.41619808,27.34540175,15.4091992,16.72779837,60.48620137,67.33759812,59.92040141,45.15499806,54.59340179,50.71259825,7.693399912,7.741200607,7.871598493,8.233199849,7.674998926,7.269599455,8.665800959,9.073800432,8.521000481,8.228799522,8.125800055,8.356601592,8.760401705,8.746798792,9.195799597,9.320201986,9.964198814,8.872201825,8.396200346,8.708799395,9.506200576,8.533401782,9.504601218,9.242201902,7.347599539,8.673140419,8.389216764,8.904754195,9.92491407,11.53849842,9.853696602,9.362798489,7.73313683,..
Netherlands,Oil products,Other final consumption (PJ),26. Netherlands,03. Oil products,12. Other final consumption (PJ),231.2369975,299.7997956,357.781202,367.0813995,308.3531978,403.8538001,355.3593978,447.0202985,546.9221948,508.2875976,474.2308978,301.3042008,375.8726998,348.2675992,334.1918958,542.6334002,400.3791958,324.2211991,293.8591996,277.0726646,255.8795854,259.9405595,229.7843663,262.3642143,279.3529424,285.9127327,293.4627682,290.5569029,288.2106788,285.4295927,290.0773552,294.9476043,371.6962538,367.8180879,357.4237875,349.3361083,360.0135912,325.7410577,337.4817032,375.3783224,335.6003981,357.9018614,336.9119467,322.5924711,346.305782,369.3771308,395.8489232,388.4864229,356.3247692,394.5913592,390.5788808,327.546318,..
Netherlands,Natural gas,Production (PJ),26. Netherlands,04. Natural gas,01. Production (PJ),1387.5273,1850.998498,2250.9657,2669.792402,2875.689902,3079.778398,3067.023601,2808.5076,2963.799902,2885.185799,2678.311799,2280.021301,2422.4832,2445.1146,2554.955101,2343.382201,2350.0296,2076.667198,2269.985399,2283.000301,2581.199998,2592.199798,2642.399999,2506.599902,2548.199699,2883.899702,2554.199999,2436.399901,2265.599701,2208.9996,2327.3001,2286.700202,2185.800302,2578.200299,2351.999699,2322.099901,2232.0999,2552.699701,2357.999999,2709.600299,2501.900101,2462.499902,2606.599798,2173.899599,1651.720107,1594.702259,1365.524535,1169.546955,998.8722326,723.4171005,648.8485806,539.3610643,354.7670619
Netherlands,Natural gas,Imports (PJ),26. Netherlands,04. Natural gas,02. Imports (PJ),0,0,0,0,0,0,9.156598589,55.71540139,65.45610044,119.8340997,106.0838991,107.3052012,100.6424994,108.2133014,66.18330155,62.87850121,67.38119946,79.5564013,82.10159888,85.10039857,73.29960132,88.59960041,110.5001985,110.1995989,115.5995995,170.8002004,216.6003006,216.1997997,324.5004,522.2996994,641.5001981,802.7000996,764.2997999,565.299898,688.2003012,755.2998002,782.9000985,793.8000011,770.1003015,772.4996979,719.4995996,841.4000987,913.1004011,934.7003995,1220.846345,1377.272089,726.7961956,937.9733718,1078.208471,1094.606132,931.6342258,1170.196566,1202.708743
