Date,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,HDMaxTemperature,DailyMeanWindspeed,MaxHourlyMeanWindspeed,HDMaxMeanWindspeed,MinHourlyMeanWindspeed,HDMinMeanWindspeed,Month,Year_x,Week,WeekKey,day_of_week,DailyLoadConsumption,Year_y,GeothermalHeat,AmbientAirHeat,TotalGeothermal&GroundEnergy,TotalBiomass,TotalRes(excl.Stat.Transfer),TotalRes(incl.Stat.Transfer),Totaal windenergie,TotalSolarEnergy,Total Including Non-Renewable,Hydropower,OnshoreWindEnergy,OffshoreWindEnergy,SolarPower,SolarThermalEnergy,Population,"Crude, NGL and feedstocks",Electricity,Heat,Natural gas,Oil products,Renewables and waste,Total,Commercial and public services (PJ),"Electricity, CHP and heat plants (PJ)",Exports (PJ),Imports (PJ),Industry (PJ),"Oil refineries, transformation (PJ)",Other final consumption (PJ),Production (PJ),Residential (PJ),Total energy supply (PJ),Total final consumption (PJ),Transport (PJ),NG_Household_LessThan_569m3_EuroPerM3,NG_Household_569to5687m3_EuroPerM3,NG_Household_MoreThan_5687m3_EuroPerM3,NG_NonHousehold_LessThan_28433m3_EuroPerM3,NG_NonHousehold_28433to284333m3_EuroPerM3,NG_NonHousehold_284333to2843332m3_EuroPerM3,NG_NonHousehold_2843332to28433324m3_EuroPerM3,NG_NonHousehold_MoreThan_28433324m3_EuroPerM3,Electricity_Household_LessThan_1MWh_EuroPerKWh,Electricity_Household_1to2.5MWh_EuroPerKWh,Electricity_Household_2.5to5MWh_EuroPerKWh,Electricity_Household_5to15MWh_EuroPerKWh,Electricity_Household_MoreThan_15MWh_EuroPerKWh,Electricity_NonHousehold_LessThan_20MWh_EuroPerKWh,Electricity_NonHousehold_20to500MWh_EuroPerKWh,Electricity_NonHousehold_500to2000MWh_EuroPerKWh,Electricity_NonHousehold_2000to20000MWh_EuroPerKWh,Electricity_NonHousehold_20000to70000MWh_EuroPerKWh,Electricity_NonHousehold_70000to150000MWh_EuroPerKWh,Electricity_NonHousehold_MoreThan_150000MWh_EuroPerKWh,AveragePrice_Electricity_Household,AveragePrice_Electricity_NonHousehold,AveragePrice_NaturalGas_Household,AveragePrice_NaturalGas_NonHousehold,GDP,NAO
2019-04-02,11.7,7.0,17,9.3,24,1,15.5,11,3.6,5.0,10,2.0,1,4,2019,14,201914,Tuesday,321871.77999999997,2019,4715.0,6167.0,10279.0,108445.0,184632.0,184632.0,38784.0,20617.0,2077604.0,334.0,26743.0,12041.0,19437.0,1180.0,"17,28",61.4801435,387.5045429,86.9074382,806.785646,914.1751777,74.64707266,2356.396676,131.0496284,437.080492,-70.37143295,73.45028007,128.6775048,0,41.58462063,0,77.73784378,3.078847116,387.5045429,8.454949524,1.3621878453038674,0.9194419889502763,0.8167458563535912,0.8496574585635359,0.7289005524861878,0.40552486187845305,0.28247513812154695,0.23337016574585637,0.08523204419889503,0.18142541436464088,0.205,0.2105745856353591,0.2533867403314917,0.20923756906077348,0.14968508287292817,0.11187292817679559,0.10457458563535911,0.0794696132596685,0.07259668508287292,0.07214917127071822,0.18712375690607724,0.11422651933701651,1.0327918968692449,0.49998563535911605,206705.6,0.47
2019-04-03,4.3,2.1,17,6.1,21,24,9.5,11,2.8,6.0,13,1.0,18,4,2019,14,201914,Wednesday,324692.335,2019,4715.0,6167.0,10279.0,108445.0,184632.0,184632.0,38784.0,20617.0,2077604.0,334.0,26743.0,12041.0,19437.0,1180.0,"17,28",61.4801435,387.5045429,86.9074382,806.785646,914.1751777,74.64707266,2356.396676,131.0496284,437.080492,-70.37143295,73.45028007,128.6775048,0,41.58462063,0,77.73784378,3.078847116,387.5045429,8.454949524,1.3633591160220995,0.9196685082872929,0.8166906077348066,0.849756906077348,0.7285745856353592,0.40485635359116023,0.28214364640883977,0.23297237569060775,0.08532596685082873,0.18143093922651934,0.205,0.21056906077348064,0.2532099447513812,0.2090718232044199,0.14948618784530388,0.11184530386740332,0.10456906077348066,0.07939779005524862,0.07255248618784531,0.07213812154696132,0.18710718232044188,0.11415153906866607,1.0332394106813996,0.499660773480663,206705.6,0.47
2019-04-04,0.0,0.0,1,5.6,9,2,10.3,15,2.4,4.0,17,2.0,1,4,2019,14,201914,Thursday,328937.5775,2019,4715.0,6167.0,10279.0,108445.0,184632.0,184632.0,38784.0,20617.0,2077604.0,334.0,26743.0,12041.0,19437.0,1180.0,"17,28",61.4801435,387.5045429,86.9074382,806.785646,914.1751777,74.64707266,2356.396676,131.0496284,437.080492,-70.37143295,73.45028007,128.6775048,0,41.58462063,0,77.73784378,3.078847116,387.5045429,8.454949524,1.3645303867403316,0.9198950276243094,0.8166353591160221,0.8498563535911602,0.7282486187845304,0.4041878453038674,0.2818121546961326,0.23257458563535913,0.08541988950276243,0.18143646408839778,0.205,0.2105635359116022,0.25303314917127073,0.2089060773480663,0.14928729281767955,0.11181767955801106,0.10456353591160221,0.07932596685082872,0.07250828729281768,0.07212707182320441,0.18709060773480654,0.11407655880031564,1.0336869244935543,0.49933591160220997,206705.6,0.47
2019-04-05,0.0,0.0,1,7.8,0,6,12.8,14,3.0,5.0,16,1.0,3,4,2019,14,201914,Friday,315448.7875,2019,4715.0,6167.0,10279.0,108445.0,184632.0,184632.0,38784.0,20617.0,2077604.0,334.0,26743.0,12041.0,19437.0,1180.0,"17,28",61.4801435,387.5045429,86.9074382,806.785646,914.1751777,74.64707266,2356.396676,131.0496284,437.080492,-70.37143295,73.45028007,128.6775048,0,41.58462063,0,77.73784378,3.078847116,387.5045429,8.454949524,1.3657016574585636,0.920121546961326,0.8165801104972376,0.8499558011049724,0.7279226519337016,0.4035193370165746,0.2814806629834254,0.2321767955801105,0.08551381215469614,0.18144198895027625,0.205,0.21055801104972374,0.2528563535911602,0.2087403314917127,0.14908839779005525,0.11179005524861879,0.10455801104972376,0.07925414364640884,0.07246408839779006,0.07211602209944751,0.18707403314917118,0.1140015785319652,1.034134438305709,0.4990110497237569,206705.6,0.47
2019-04-06,-0.1,-0.1,1,10.6,75,6,15.1,14,3.0,4.0,9,2.0,2,4,2019,14,201914,Saturday,283938.485,2019,4715.0,6167.0,10279.0,108445.0,184632.0,184632.0,38784.0,20617.0,2077604.0,334.0,26743.0,12041.0,19437.0,1180.0,"17,28",61.4801435,387.5045429,86.9074382,806.785646,914.1751777,74.64707266,2356.396676,131.0496284,437.080492,-70.37143295,73.45028007,128.6775048,0,41.58462063,0,77.73784378,3.078847116,387.5045429,8.454949524,1.3668729281767955,0.9203480662983425,0.8165248618784531,0.8500552486187845,0.7275966850828729,0.4028508287292818,0.2811491712707182,0.2317790055248619,0.08560773480662984,0.18144751381215468,0.205,0.2105524861878453,0.25267955801104974,0.2085745856353591,0.14888950276243096,0.11176243093922653,0.1045524861878453,0.07918232044198895,0.07241988950276243,0.0721049723756906,0.1870574585635358,0.11392659826361477,1.0345819521178636,0.4986861878453039,206705.6,0.47
2019-04-07,-0.1,-0.1,1,15.1,84,6,20.9,14,3.3,6.0,11,1.0,3,4,2019,14,201914,Sunday,259591.47,2019,4715.0,6167.0,10279.0,108445.0,184632.0,184632.0,38784.0,20617.0,2077604.0,334.0,26743.0,12041.0,19437.0,1180.0,"17,28",61.4801435,387.5045429,86.9074382,806.785646,914.1751777,74.64707266,2356.396676,131.0496284,437.080492,-70.37143295,73.45028007,128.6775048,0,41.58462063,0,77.73784378,3.078847116,387.5045429,8.454949524,1.3680441988950276,0.9205745856353591,0.8164696132596685,0.8501546961325966,0.7272707182320441,0.402182320441989,0.28081767955801107,0.23138121546961327,0.08570165745856353,0.18145303867403315,0.205,0.21054696132596684,0.2525027624309392,0.20840883977900554,0.14869060773480663,0.11173480662983426,0.10454696132596684,0.07911049723756906,0.07237569060773481,0.07209392265193369,0.18704088397790045,0.11385161799526433,1.0350294659300183,0.49836132596685084,206705.6,0.47
2019-04-08,0.0,0.0,1,14.3,75,5,21.5,14,2.8,5.0,11,1.0,5,4,2019,15,201915,Monday,304742.69,2019,4715.0,6167.0,10279.0,108445.0,184632.0,184632.0,38784.0,20617.0,2077604.0,334.0,26743.0,12041.0,19437.0,1180.0,"17,28",61.4801435,387.5045429,86.9074382,806.785646,914.1751777,74.64707266,2356.396676,131.0496284,437.080492,-70.37143295,73.45028007,128.6775048,0,41.58462063,0,77.73784378,3.078847116,387.5045429,8.454949524,1.3692154696132597,0.9208011049723757,0.816414364640884,0.8502541436464088,0.7269447513812155,0.40151381215469617,0.2804861878453039,0.23098342541436465,0.08579558011049723,0.1814585635359116,0.205,0.21054143646408838,0.25232596685082875,0.20824309392265195,0.1484917127071823,0.111707182320442,0.1045414364640884,0.07903867403314917,0.07233149171270718,0.07208287292817679,0.18702430939226508,0.1137766377269139,1.035476979742173,0.4980364640883978,206705.6,0.47
2019-04-09,0.0,0.0,1,9.6,50,6,14.9,14,5.0,7.0,12,2.0,1,4,2019,15,201915,Tuesday,305471.3225,2019,4715.0,6167.0,10279.0,108445.0,184632.0,184632.0,38784.0,20617.0,2077604.0,334.0,26743.0,12041.0,19437.0,1180.0,"17,28",61.4801435,387.5045429,86.9074382,806.785646,914.1751777,74.64707266,2356.396676,131.0496284,437.080492,-70.37143295,73.45028007,128.6775048,0,41.58462063,0,77.73784378,3.078847116,387.5045429,8.454949524,1.3703867403314918,0.9210276243093922,0.8163591160220994,0.850353591160221,0.7266187845303868,0.40084530386740336,0.2801546961325967,0.23058563535911603,0.08588950276243094,0.18146408839779005,0.205,0.21053591160220994,0.25214917127071823,0.20807734806629835,0.14829281767955801,0.11167955801104973,0.10453591160220994,0.07896685082872928,0.07228729281767957,0.07207182320441989,0.18700773480662974,0.11370165745856346,1.0359244935543277,0.49771160220994476,206705.6,0.47
2019-04-10,0.0,0.0,1,6.0,20,5,10.9,14,5.4,7.0,15,4.0,20,4,2019,15,201915,Wednesday,302423.01,2019,4715.0,6167.0,10279.0,108445.0,184632.0,184632.0,38784.0,20617.0,2077604.0,334.0,26743.0,12041.0,19437.0,1180.0,"17,28",61.4801435,387.5045429,86.9074382,806.785646,914.1751777,74.64707266,2356.396676,131.0496284,437.080492,-70.37143295,73.45028007,128.6775048,0,41.58462063,0,77.73784378,3.078847116,387.5045429,8.454949524,1.3715580110497239,0.9212541436464088,0.816303867403315,0.8504530386740331,0.726292817679558,0.40017679558011054,0.2798232044198895,0.2301878453038674,0.08598342541436464,0.1814696132596685,0.205,0.21053038674033148,0.2519723756906077,0.20791160220994476,0.14809392265193372,0.11165193370165746,0.1045303867403315,0.07889502762430939,0.07224309392265194,0.07206077348066298,0.18699116022099438,0.11362667719021304,1.0363720073664826,0.4973867403314917,206705.6,0.47
2019-04-11,0.0,0.0,1,6.1,2,5,10.8,14,3.9,6.0,9,3.0,3,4,2019,15,201915,Thursday,306325.2125,2019,4715.0,6167.0,10279.0,108445.0,184632.0,184632.0,38784.0,20617.0,2077604.0,334.0,26743.0,12041.0,19437.0,1180.0,"17,28",61.4801435,387.5045429,86.9074382,806.785646,914.1751777,74.64707266,2356.396676,131.0496284,437.080492,-70.37143295,73.45028007,128.6775048,0,41.58462063,0,77.73784378,3.078847116,387.5045429,8.454949524,1.3727292817679557,0.9214806629834253,0.8162486187845304,0.8505524861878453,0.7259668508287292,0.39950828729281773,0.2794917127071823,0.22979005524861879,0.08607734806629834,0.18147513812154695,0.205,0.21052486187845304,0.25179558011049724,0.20774585635359116,0.1478950276243094,0.1116243093922652,0.10452486187845303,0.0788232044198895,0.0721988950276243,0.07204972375690608,0.18697458563535901,0.11355169692186261,1.0368195211786373,0.4970618784530387,206705.6,0.47
2019-04-12,0.0,0.0,1,5.3,13,24,9.4,12,3.8,5.0,11,3.0,1,4,2019,15,201915,Friday,311896.3225,2019,4715.0,6167.0,10279.0,108445.0,184632.0,184632.0,38784.0,20617.0,2077604.0,334.0,26743.0,12041.0,19437.0,1180.0,"17,28",61.4801435,387.5045429,86.9074382,806.785646,914.1751777,74.64707266,2356.396676,131.0496284,437.080492,-70.37143295,73.45028007,128.6775048,0,41.58462063,0,77.73784378,3.078847116,387.5045429,8.454949524,1.3739005524861878,0.921707182320442,0.8161933701657459,0.8506519337016575,0.7256408839779005,0.39883977900552486,0.27916022099447513,0.22939226519337017,0.08617127071823205,0.1814806629834254,0.205,0.21051933701657458,0.2516187845303867,0.20758011049723757,0.1476961325966851,0.11159668508287293,0.10451933701657458,0.07875138121546961,0.07215469613259669,0.07203867403314916,0.18695801104972365,0.11347671665351217,1.037267034990792,0.49673701657458563,206705.6,0.47
2019-04-13,-0.1,-0.1,1,2.9,-11,5,7.6,12,3.7,6.0,10,2.0,2,4,2019,15,201915,Saturday,279002.6525,2019,4715.0,6167.0,10279.0,108445.0,184632.0,184632.0,38784.0,20617.0,2077604.0,334.0,26743.0,12041.0,19437.0,1180.0,"17,28",61.4801435,387.5045429,86.9074382,806.785646,914.1751777,74.64707266,2356.396676,131.0496284,437.080492,-70.37143295,73.45028007,128.6775048,0,41.58462063,0,77.73784378,3.078847116,387.5045429,8.454949524,1.37507182320442,0.9219337016574586,0.8161381215469613,0.8507513812154696,0.7253149171270719,0.39817127071823205,0.27882872928176794,0.22899447513812154,0.08626519337016575,0.18148618784530388,0.205,0.2105138121546961,0.25144198895027625,0.20741436464088397,0.14749723756906077,0.11156906077348067,0.10451381215469613,0.07867955801104973,0.07211049723756906,0.07202762430939226,0.18694143646408828,0.11340173638516174,1.0377145488029467,0.4964121546961326,206705.6,0.47
2019-04-14,0.0,0.0,1,5.5,-3,3,11.0,15,3.6,6.0,14,2.0,1,4,2019,15,201915,Sunday,262313.64,2019,4715.0,6167.0,10279.0,108445.0,184632.0,184632.0,38784.0,20617.0,2077604.0,334.0,26743.0,12041.0,19437.0,1180.0,"17,28",61.4801435,387.5045429,86.9074382,806.785646,914.1751777,74.64707266,2356.396676,131.0496284,437.080492,-70.37143295,73.45028007,128.6775048,0,41.58462063,0,77.73784378,3.078847116,387.5045429,8.454949524,1.376243093922652,0.9221602209944751,0.8160828729281768,0.8508508287292817,0.7249889502762431,0.39750276243093924,0.27849723756906075,0.22859668508287292,0.08635911602209945,0.1814917127071823,0.205,0.21050828729281768,0.25126519337016573,0.20724861878453038,0.14729834254143648,0.1115414364640884,0.10450828729281768,0.07860773480662983,0.07206629834254144,0.07201657458563536,0.18692486187845295,0.1133267561168113,1.0381620626151014,0.49608729281767955,206705.6,0.47
2019-04-15,0.0,0.0,1,10.6,42,3,16.7,15,4.6,7.0,14,2.0,1,4,2019,16,201916,Monday,302556.315,2019,4715.0,6167.0,10279.0,108445.0,184632.0,184632.0,38784.0,20617.0,2077604.0,334.0,26743.0,12041.0,19437.0,1180.0,"17,28",61.4801435,387.5045429,86.9074382,806.785646,914.1751777,74.64707266,2356.396676,131.0496284,437.080492,-70.37143295,73.45028007,128.6775048,0,41.58462063,0,77.73784378,3.078847116,387.5045429,8.454949524,1.377414364640884,0.9223867403314917,0.8160276243093922,0.8509502762430939,0.7246629834254144,0.3968342541436464,0.27816574585635356,0.2281988950276243,0.08645303867403314,0.18149723756906078,0.205,0.2105027624309392,0.25108839779005526,0.2070828729281768,0.14709944751381215,0.11151381215469613,0.10450276243093923,0.07853591160220995,0.07202209944751381,0.07200552486187844,0.18690828729281758,0.11325177584846087,1.038609576427256,0.4957624309392265,206705.6,0.47
